episode,cue_index,turn_index,start,end,speaker,dialogue,confidence,basis,notes,language,english_subtitle,speaker_candidates
S01E07,1,1,"00:00:00,001","00:00:02,001",LOUIS DE POINTE DU LAC,You go ahead. Have your fun.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.88; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,2,1,"00:00:04,356","00:00:06,484",LESTAT DE LIONCOURT,Be my companion.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.75; no episode audio used,English,,LOUIS DE POINTE DU LAC | DANIEL MOLLOY | TOM ANDERSON
S01E07,3,1,"00:00:06,489","00:00:08,025",LOUIS DE POINTE DU LAC,If you're going to beat Lestat..,uncertain,best contextual candidate from text-only sources,recognition_margin=1.05; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,4,1,"00:00:08,029","00:00:09,330",LOUIS DE POINTE DU LAC,This is not a life!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.59; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,5,1,"00:00:09,335","00:00:11,001",LOUIS DE POINTE DU LAC,You took my life!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.86; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,6,1,"00:00:11,006","00:00:12,898",LOUIS DE POINTE DU LAC,... you have to think like he does,uncertain,best contextual candidate from text-only sources,recognition_margin=0.86; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,7,1,"00:00:12,903","00:00:15,162",LOUIS DE POINTE DU LAC,and then five moves ahead of that.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.86; no episode audio used,English,,LESTAT DE LIONCOURT | DANIEL MOLLOY | TOM ANDERSON
S01E07,8,1,"00:00:15,167","00:00:17,790",LESTAT DE LIONCOURT,She is poisoning Louis against me.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.29; no episode audio used,English,,DANIEL MOLLOY | TOM ANDERSON | LOUIS DE POINTE DU LAC
S01E07,9,1,"00:00:17,795","00:00:19,227",LOUIS DE POINTE DU LAC,Kill Antoinette.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.28; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,10,1,"00:00:19,232","00:00:21,794",LESTAT DE LIONCOURT,"We're his slaves, and I shall free us both.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.53; no episode audio used,English,,TOM ANDERSON | LOUIS DE POINTE DU LAC | DANIEL MOLLOY
S01E07,11,1,"00:00:21,799","00:00:22,995",LESTAT DE LIONCOURT,You have won.,uncertain,best contextual candidate from text-only sources,recognition_margin=0.00; no episode audio used,English,,DANIEL MOLLOY | LOUIS DE POINTE DU LAC | TOM ANDERSON
S01E07,12,1,"00:00:23,000","00:00:24,301",LOUIS DE POINTE DU LAC,"You want to kill him, too.",uncertain,best contextual candidate from text-only sources,recognition_margin=0.87; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,13,1,"00:00:24,306","00:00:25,781",TOM ANDERSON,Finish the game!,uncertain,best contextual candidate from text-only sources,recognition_margin=0.39; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | LOUIS DE POINTE DU LAC
S01E07,14,1,"00:00:25,786","00:00:27,640",LOUIS DE POINTE DU LAC,We were going to kill Lestat.,uncertain,best contextual candidate from text-only sources,recognition_margin=1.05; no episode audio used,English,,DANIEL MOLLOY | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,16,1,"00:01:20,219","00:01:22,912",DANIEL MOLLOY,So...,uncertain,best contextual candidate from text-only sources,recognition_margin=2.12; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
S01E07,17,1,"00:01:22,917","00:01:24,740",DANIEL MOLLOY,question.,uncertain,best contextual candidate from text-only sources,recognition_margin=2.12; no episode audio used,English,,LOUIS DE POINTE DU LAC | LESTAT DE LIONCOURT | TOM ANDERSON
